timestamp,value,metric
2025-06-03 06:33:52,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:33:53,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:33:54,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:33:55,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:33:56,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:33:57,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:33:58,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:33:59,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:00,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:01,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:02,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:03,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:04,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:05,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:06,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:07,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:08,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:09,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:10,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:11,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:12,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:13,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:14,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:15,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:16,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:17,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:18,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:19,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:20,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:21,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:22,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:23,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:24,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:25,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:26,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:27,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:28,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:29,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:30,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:31,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:32,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:33,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:34,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:35,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:36,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:37,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:38,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:39,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:40,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:41,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:42,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:43,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:44,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:45,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:46,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:47,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:48,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:49,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:50,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:51,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:52,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:53,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:54,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:55,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:56,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:57,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:58,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:34:59,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:00,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:01,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:02,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:03,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:04,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:05,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:06,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:07,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:08,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:09,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:10,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:11,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:12,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:13,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:14,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:15,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:16,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:17,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:18,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:19,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:20,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:21,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:22,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:23,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:24,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:25,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:26,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:27,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:28,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:29,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:30,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:31,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:32,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:33,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:34,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:35,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:36,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:37,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:38,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:39,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:40,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:41,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:42,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:43,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:44,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:45,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:46,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:47,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:48,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:49,16.0,count(count by(server_name) (mc_tps))
2025-06-03 06:35:50,16.0,count(count by(server_name) (mc_tps))
