timestamp,value,metric
2025-05-22 07:41:08,0.008,max(server_latency)
2025-05-22 07:41:09,0.005,max(server_latency)
2025-05-22 07:41:10,0.003,max(server_latency)
2025-05-22 07:41:11,0.003,max(server_latency)
2025-05-22 07:41:12,0.011,max(server_latency)
2025-05-22 07:41:13,0.006,max(server_latency)
2025-05-22 07:41:14,0.002,max(server_latency)
2025-05-22 07:41:15,0.004,max(server_latency)
2025-05-22 07:41:16,0.005,max(server_latency)
2025-05-22 07:41:17,0.009,max(server_latency)
2025-05-22 07:41:18,0.003,max(server_latency)
2025-05-22 07:41:19,0.004,max(server_latency)
2025-05-22 07:41:20,0.005,max(server_latency)
2025-05-22 07:41:21,0.003,max(server_latency)
2025-05-22 07:41:22,0.004,max(server_latency)
2025-05-22 07:41:23,0.002,max(server_latency)
2025-05-22 07:41:24,0.004,max(server_latency)
2025-05-22 07:41:25,0.003,max(server_latency)
2025-05-22 07:41:26,0.003,max(server_latency)
2025-05-22 07:41:27,0.005,max(server_latency)
2025-05-22 07:41:28,0.005,max(server_latency)
2025-05-22 07:41:29,0.005,max(server_latency)
2025-05-22 07:41:30,0.004,max(server_latency)
2025-05-22 07:41:31,0.006,max(server_latency)
2025-05-22 07:41:32,0.004,max(server_latency)
2025-05-22 07:41:33,0.003,max(server_latency)
2025-05-22 07:41:34,0.002,max(server_latency)
2025-05-22 07:41:35,0.008,max(server_latency)
2025-05-22 07:41:36,0.002,max(server_latency)
2025-05-22 07:41:37,0.003,max(server_latency)
2025-05-22 07:41:38,0.003,max(server_latency)
2025-05-22 07:41:39,0.009,max(server_latency)
2025-05-22 07:41:40,0.008,max(server_latency)
2025-05-22 07:41:41,0.005,max(server_latency)
2025-05-22 07:41:42,0.006,max(server_latency)
2025-05-22 07:41:43,0.002,max(server_latency)
2025-05-22 07:41:44,0.008,max(server_latency)
2025-05-22 07:41:45,0.008,max(server_latency)
2025-05-22 07:41:46,0.007,max(server_latency)
2025-05-22 07:41:47,0.002,max(server_latency)
2025-05-22 07:41:48,0.002,max(server_latency)
2025-05-22 07:41:49,0.007,max(server_latency)
2025-05-22 07:41:50,0.146,max(server_latency)
2025-05-22 07:41:51,0.05,max(server_latency)
2025-05-22 07:41:52,0.031,max(server_latency)
2025-05-22 07:41:53,0.018,max(server_latency)
2025-05-22 07:41:54,0.035,max(server_latency)
2025-05-22 07:41:55,0.034,max(server_latency)
2025-05-22 07:41:56,0.017,max(server_latency)
2025-05-22 07:41:57,0.034,max(server_latency)
2025-05-22 07:41:58,0.014,max(server_latency)
2025-05-22 07:41:59,0.038,max(server_latency)
2025-05-22 07:42:00,0.015,max(server_latency)
2025-05-22 07:42:01,0.033,max(server_latency)
2025-05-22 07:42:02,0.014,max(server_latency)
2025-05-22 07:42:03,0.032,max(server_latency)
2025-05-22 07:42:04,0.015,max(server_latency)
2025-05-22 07:42:05,0.034,max(server_latency)
2025-05-22 07:42:06,0.016,max(server_latency)
2025-05-22 07:42:07,0.029,max(server_latency)
2025-05-22 07:42:08,0.013,max(server_latency)
2025-05-22 07:42:09,0.032,max(server_latency)
2025-05-22 07:42:10,0.009,max(server_latency)
2025-05-22 07:42:11,0.032,max(server_latency)
2025-05-22 07:42:12,0.012,max(server_latency)
2025-05-22 07:42:13,0.028,max(server_latency)
2025-05-22 07:42:14,0.009,max(server_latency)
2025-05-22 07:42:15,0.03,max(server_latency)
2025-05-22 07:42:16,0.026,max(server_latency)
2025-05-22 07:42:17,0.026,max(server_latency)
2025-05-22 07:42:18,0.007,max(server_latency)
2025-05-22 07:42:19,0.027,max(server_latency)
2025-05-22 07:42:20,0.007,max(server_latency)
