timestamp,value,metric
2025-05-22 06:51:01,0.029,max(server_latency)
2025-05-22 06:51:02,0.037,max(server_latency)
2025-05-22 06:51:03,0.042,max(server_latency)
2025-05-22 06:51:04,0.043,max(server_latency)
2025-05-22 06:51:05,0.048,max(server_latency)
2025-05-22 06:51:06,0.047,max(server_latency)
2025-05-22 06:51:07,0.052,max(server_latency)
2025-05-22 06:51:08,0.05,max(server_latency)
2025-05-22 06:51:09,0.057,max(server_latency)
2025-05-22 06:51:10,0.049,max(server_latency)
2025-05-22 06:51:11,0.118,max(server_latency)
2025-05-22 06:51:12,0.045,max(server_latency)
2025-05-22 06:51:13,0.054,max(server_latency)
2025-05-22 06:51:14,0.053,max(server_latency)
2025-05-22 06:51:15,0.01,max(server_latency)
2025-05-22 06:51:16,0.054,max(server_latency)
2025-05-22 06:51:17,0.023,max(server_latency)
2025-05-22 06:51:18,0.112,max(server_latency)
2025-05-22 06:51:19,0.053,max(server_latency)
2025-05-22 06:51:20,0.068,max(server_latency)
2025-05-22 06:51:21,0.052,max(server_latency)
2025-05-22 06:51:22,0.051,max(server_latency)
2025-05-22 06:51:23,0.029,max(server_latency)
2025-05-22 06:51:24,0.034,max(server_latency)
2025-05-22 06:51:25,0.055,max(server_latency)
2025-05-22 06:51:26,0.082,max(server_latency)
2025-05-22 06:51:27,0.054,max(server_latency)
2025-05-22 06:51:28,0.051,max(server_latency)
2025-05-22 06:51:29,0.052,max(server_latency)
2025-05-22 06:51:30,0.057,max(server_latency)
2025-05-22 06:51:31,0.024,max(server_latency)
2025-05-22 06:51:32,0.006,max(server_latency)
2025-05-22 06:51:33,0.014,max(server_latency)
2025-05-22 06:51:34,0.011,max(server_latency)
2025-05-22 06:51:35,0.014,max(server_latency)
2025-05-22 06:51:36,0.027,max(server_latency)
2025-05-22 06:51:37,0.013,max(server_latency)
2025-05-22 06:51:38,0.052,max(server_latency)
2025-05-22 06:51:39,0.06,max(server_latency)
2025-05-22 06:51:40,0.034,max(server_latency)
2025-05-22 06:51:41,0.03,max(server_latency)
2025-05-22 06:51:42,0.072,max(server_latency)
2025-05-22 06:51:43,0.032,max(server_latency)
2025-05-22 06:51:44,0.108,max(server_latency)
2025-05-22 06:51:45,0.054,max(server_latency)
2025-05-22 06:51:46,0.108,max(server_latency)
2025-05-22 06:51:47,0.055,max(server_latency)
2025-05-22 06:51:48,0.071,max(server_latency)
2025-05-22 06:51:49,0.062,max(server_latency)
2025-05-22 06:51:50,0.091,max(server_latency)
2025-05-22 06:51:51,0.066,max(server_latency)
2025-05-22 06:51:52,0.179,max(server_latency)
2025-05-22 06:51:53,0.038,max(server_latency)
2025-05-22 06:51:54,0.122,max(server_latency)
2025-05-22 06:51:55,0.07,max(server_latency)
2025-05-22 06:51:56,0.033,max(server_latency)
2025-05-22 06:51:57,0.076,max(server_latency)
2025-05-22 06:51:58,0.08,max(server_latency)
2025-05-22 06:51:59,0.014,max(server_latency)
2025-05-22 06:52:00,0.09,max(server_latency)
2025-05-22 06:52:01,0.145,max(server_latency)
2025-05-22 06:52:02,0.076,max(server_latency)
2025-05-22 06:52:03,0.108,max(server_latency)
2025-05-22 06:52:04,0.073,max(server_latency)
2025-05-22 06:52:05,0.151,max(server_latency)
2025-05-22 06:52:06,0.055,max(server_latency)
2025-05-22 06:52:07,0.032,max(server_latency)
2025-05-22 06:52:08,0.071,max(server_latency)
2025-05-22 06:52:09,0.059,max(server_latency)
2025-05-22 06:52:10,0.064,max(server_latency)
2025-05-22 06:52:11,0.031,max(server_latency)
2025-05-22 06:52:12,0.074,max(server_latency)
2025-05-22 06:52:13,0.113,max(server_latency)
2025-05-22 06:52:14,0.126,max(server_latency)
2025-05-22 06:52:15,0.063,max(server_latency)
2025-05-22 06:52:16,0.131,max(server_latency)
2025-05-22 06:52:17,0.187,max(server_latency)
2025-05-22 06:52:18,0.119,max(server_latency)
2025-05-22 06:52:19,0.049,max(server_latency)
2025-05-22 06:52:20,0.093,max(server_latency)
2025-05-22 06:52:21,0.051,max(server_latency)
2025-05-22 06:52:22,0.093,max(server_latency)
2025-05-22 06:52:23,0.086,max(server_latency)
2025-05-22 06:52:24,0.092,max(server_latency)
2025-05-22 06:52:25,0.081,max(server_latency)
2025-05-22 06:52:26,0.079,max(server_latency)
2025-05-22 06:52:27,0.087,max(server_latency)
2025-05-22 06:52:28,0.122,max(server_latency)
2025-05-22 06:52:29,0.055,max(server_latency)
2025-05-22 06:52:30,0.1,max(server_latency)
2025-05-22 06:52:31,0.034,max(server_latency)
