timestamp,value,metric
2025-05-22 08:27:39,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:40,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:41,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:42,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:43,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:44,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:45,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:46,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:47,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:48,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:49,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:50,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:51,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:52,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:53,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:54,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:55,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:56,0.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:57,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:58,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:27:59,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:00,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:01,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:02,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:03,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:04,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:05,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:06,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:07,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:08,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:09,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:10,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:11,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:12,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:13,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:14,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:15,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:16,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:17,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:18,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:19,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:20,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:21,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:22,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:23,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:24,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:25,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:26,10.0,sum(mc_players_online_local{world='world'})
2025-05-22 08:28:27,10.0,sum(mc_players_online_local{world='world'})
