timestamp,value,metric
2025-06-02 08:43:33,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:34,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:35,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:36,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:37,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:38,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:39,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:40,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:41,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:42,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:43,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:44,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:45,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:46,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:47,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:48,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:49,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:50,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:51,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:52,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:53,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:54,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:55,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:56,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:57,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:58,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:43:59,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:00,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:01,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:02,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:03,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:04,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:05,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:06,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:07,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:08,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:09,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:10,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:11,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:12,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:13,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:14,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:15,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:16,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:17,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:18,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:19,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:20,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:21,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:22,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:23,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:24,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:25,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:26,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:27,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:28,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:29,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:30,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:31,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:32,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:33,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:34,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:35,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:36,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:37,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:38,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:39,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:40,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:41,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:42,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:43,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:44,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:45,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:46,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:47,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:48,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:49,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:50,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:51,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:52,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:53,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:54,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:55,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:56,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:57,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:58,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:44:59,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:00,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:01,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:02,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:03,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:04,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:05,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:06,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:07,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:08,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:09,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:10,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:11,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:12,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:13,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:14,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:15,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:16,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:17,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:18,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:19,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:20,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:21,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:22,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:23,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:24,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:25,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:26,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:27,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:28,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:29,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:30,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:31,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:32,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:33,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:34,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:35,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:36,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:37,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:38,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:39,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:40,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:41,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:42,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:43,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:44,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:45,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:46,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:47,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:48,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:49,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:50,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:51,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:52,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:53,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:54,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:55,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:56,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:57,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:58,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:45:59,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:00,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:01,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:02,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:03,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:04,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:05,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:06,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:07,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:08,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:09,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:10,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:11,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:12,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:13,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:14,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:15,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:16,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:17,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:18,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:19,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:20,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:21,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:22,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:23,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:24,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:25,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:26,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:27,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:28,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:29,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:30,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:31,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:32,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:33,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:34,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:35,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:36,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:37,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:38,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:39,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:40,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:41,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:42,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:43,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:44,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:45,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:46,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:47,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:48,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:49,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:50,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:51,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:52,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:53,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:54,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:55,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:56,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:57,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:58,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:46:59,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:00,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:01,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:02,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:03,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:04,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:05,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:06,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:07,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:08,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:09,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:10,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:11,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:12,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:13,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:14,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:15,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:16,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:17,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:18,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:19,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:20,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:21,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:22,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:23,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:24,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:25,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:26,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:27,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:28,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:29,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:30,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:31,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:32,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:33,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:34,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:35,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:36,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:37,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:38,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:39,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:40,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:41,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:42,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:43,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:44,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:45,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:46,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:47,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:48,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:49,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:50,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:51,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:52,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:53,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:54,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:55,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:56,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:57,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:58,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:47:59,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:00,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:01,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:02,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:03,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:04,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:05,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:06,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:07,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:08,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:09,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:10,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:11,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:12,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:13,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:14,32.0,count(count by(server_name) (mc_tps))
2025-06-02 08:48:15,32.0,count(count by(server_name) (mc_tps))
