timestamp,value,metric,owner
2025-06-02 08:47:31,2.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:32,7.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:33,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:34,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:35,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:36,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:37,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:38,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:39,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:40,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:41,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:42,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:43,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:44,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:45,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:46,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:47,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:48,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:49,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:50,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:51,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:52,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:53,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:54,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:55,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:56,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:57,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:58,29.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:47:59,30.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:00,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:01,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:02,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:03,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:04,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:05,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:06,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:07,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:08,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:09,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:10,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:11,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:12,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:13,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:14,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:15,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:16,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:17,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:18,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:19,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:20,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:21,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:22,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:23,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:24,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:25,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:26,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:27,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:28,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:29,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:30,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:31,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:32,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:33,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:34,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:35,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:36,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:37,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:38,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:39,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:40,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:41,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:42,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:43,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:44,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:45,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:46,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:47,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
2025-06-02 08:48:48,41.0,sum by(owner) (mc_chunk_ownership),multipaper-server-5d4c584f66-4968x
