timestamp,value,metric
2025-05-29 06:34:20,0.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:21,0.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:22,0.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:23,0.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:24,0.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:25,0.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:26,0.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:27,0.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:28,0.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:29,0.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:30,0.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:31,1.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:32,2.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:33,2.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:34,2.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:35,3.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:36,4.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:37,4.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:38,5.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:39,5.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:40,6.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:41,6.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:42,7.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:43,8.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:44,8.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:45,8.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:46,9.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:47,10.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:48,10.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:49,11.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:50,11.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:51,12.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:52,12.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:53,13.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:54,13.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:55,14.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:56,14.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:57,15.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:58,15.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:34:59,16.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:00,16.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:01,17.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:02,17.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:03,18.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:04,18.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:05,19.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:06,19.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:07,20.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:08,21.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:09,22.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:10,22.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:11,22.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:12,23.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:13,24.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:14,24.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:15,25.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:16,25.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:17,26.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:18,26.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:19,27.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:20,27.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:21,28.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:22,28.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:23,28.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:24,29.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:25,29.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:26,30.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:27,31.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:28,31.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:29,32.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:30,32.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:31,33.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:32,33.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:33,34.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:34,34.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:35,35.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:36,35.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:37,36.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:38,36.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:39,37.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:40,37.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:41,37.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:42,38.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:43,38.0,sum(mc_players_online_local{world='world'})
2025-05-29 06:35:44,39.0,sum(mc_players_online_local{world='world'})
