timestamp,value,metric
2025-06-02 07:35:08,0.052,max(server_latency)
2025-06-02 07:35:09,0.075,max(server_latency)
2025-06-02 07:35:10,0.059,max(server_latency)
2025-06-02 07:35:11,0.057,max(server_latency)
2025-06-02 07:35:12,0.065,max(server_latency)
2025-06-02 07:35:13,0.063,max(server_latency)
2025-06-02 07:35:14,0.2,max(server_latency)
2025-06-02 07:35:15,0.057,max(server_latency)
2025-06-02 07:35:16,0.062,max(server_latency)
2025-06-02 07:35:17,0.055,max(server_latency)
2025-06-02 07:35:18,0.058,max(server_latency)
2025-06-02 07:35:19,0.048,max(server_latency)
2025-06-02 07:35:20,0.066,max(server_latency)
2025-06-02 07:35:21,0.049,max(server_latency)
2025-06-02 07:35:22,0.051,max(server_latency)
2025-06-02 07:35:23,0.063,max(server_latency)
2025-06-02 07:35:24,0.061,max(server_latency)
2025-06-02 07:35:25,0.06,max(server_latency)
2025-06-02 07:35:26,0.08,max(server_latency)
2025-06-02 07:35:27,0.049,max(server_latency)
2025-06-02 07:35:28,0.082,max(server_latency)
2025-06-02 07:35:29,0.055,max(server_latency)
2025-06-02 07:35:30,0.051,max(server_latency)
2025-06-02 07:35:31,0.051,max(server_latency)
2025-06-02 07:35:32,0.063,max(server_latency)
2025-06-02 07:35:33,0.051,max(server_latency)
2025-06-02 07:35:34,0.074,max(server_latency)
2025-06-02 07:35:35,0.052,max(server_latency)
2025-06-02 07:35:36,0.054,max(server_latency)
2025-06-02 07:35:37,0.053,max(server_latency)
2025-06-02 07:35:38,0.057,max(server_latency)
2025-06-02 07:35:39,0.054,max(server_latency)
2025-06-02 07:35:40,0.051,max(server_latency)
2025-06-02 07:35:41,0.056,max(server_latency)
2025-06-02 07:35:42,0.053,max(server_latency)
2025-06-02 07:35:43,0.134,max(server_latency)
2025-06-02 07:35:44,0.052,max(server_latency)
2025-06-02 07:35:45,0.056,max(server_latency)
2025-06-02 07:35:46,0.06,max(server_latency)
2025-06-02 07:35:47,0.047,max(server_latency)
2025-06-02 07:35:48,0.05,max(server_latency)
2025-06-02 07:35:49,0.149,max(server_latency)
2025-06-02 07:35:50,0.05,max(server_latency)
2025-06-02 07:35:51,0.07,max(server_latency)
2025-06-02 07:35:52,0.054,max(server_latency)
2025-06-02 07:35:53,0.058,max(server_latency)
2025-06-02 07:35:54,0.061,max(server_latency)
2025-06-02 07:35:55,0.087,max(server_latency)
2025-06-02 07:35:56,0.064,max(server_latency)
2025-06-02 07:35:57,0.051,max(server_latency)
2025-06-02 07:35:58,0.059,max(server_latency)
2025-06-02 07:35:59,0.06,max(server_latency)
2025-06-02 07:36:00,0.055,max(server_latency)
2025-06-02 07:36:01,0.052,max(server_latency)
2025-06-02 07:36:02,0.052,max(server_latency)
2025-06-02 07:36:03,0.05,max(server_latency)
2025-06-02 07:36:04,0.052,max(server_latency)
2025-06-02 07:36:05,0.049,max(server_latency)
2025-06-02 07:36:06,0.059,max(server_latency)
2025-06-02 07:36:07,0.053,max(server_latency)
2025-06-02 07:36:08,0.051,max(server_latency)
2025-06-02 07:36:09,0.053,max(server_latency)
2025-06-02 07:36:10,0.051,max(server_latency)
2025-06-02 07:36:11,0.149,max(server_latency)
2025-06-02 07:36:12,0.057,max(server_latency)
2025-06-02 07:36:13,0.055,max(server_latency)
2025-06-02 07:36:14,0.052,max(server_latency)
2025-06-02 07:36:15,0.051,max(server_latency)
2025-06-02 07:36:16,0.053,max(server_latency)
2025-06-02 07:36:17,0.054,max(server_latency)
2025-06-02 07:36:18,0.067,max(server_latency)
2025-06-02 07:36:19,0.058,max(server_latency)
2025-06-02 07:36:20,0.059,max(server_latency)
2025-06-02 07:36:21,0.061,max(server_latency)
2025-06-02 07:36:22,0.058,max(server_latency)
2025-06-02 07:36:23,0.055,max(server_latency)
2025-06-02 07:36:24,0.073,max(server_latency)
2025-06-02 07:36:25,0.055,max(server_latency)
2025-06-02 07:36:26,0.078,max(server_latency)
2025-06-02 07:36:27,0.067,max(server_latency)
2025-06-02 07:36:28,0.055,max(server_latency)
2025-06-02 07:36:29,0.061,max(server_latency)
2025-06-02 07:36:30,0.057,max(server_latency)
2025-06-02 07:36:31,0.052,max(server_latency)
2025-06-02 07:36:32,0.06,max(server_latency)
2025-06-02 07:36:33,0.052,max(server_latency)
2025-06-02 07:36:34,0.052,max(server_latency)
2025-06-02 07:36:35,0.067,max(server_latency)
2025-06-02 07:36:36,0.063,max(server_latency)
2025-06-02 07:36:37,0.053,max(server_latency)
2025-06-02 07:36:38,0.059,max(server_latency)
2025-06-02 07:36:39,0.064,max(server_latency)
2025-06-02 07:36:40,0.054,max(server_latency)
