timestamp,value,metric
2025-06-11 21:47:38,0.054,min(server_latency)
2025-06-11 21:47:39,0.009,min(server_latency)
2025-06-11 21:47:40,0.008,min(server_latency)
2025-06-11 21:47:41,0.033,min(server_latency)
2025-06-11 21:47:42,0.006,min(server_latency)
2025-06-11 21:47:43,0.005,min(server_latency)
2025-06-11 21:47:44,0.004,min(server_latency)
2025-06-11 21:47:45,0.004,min(server_latency)
2025-06-11 21:47:46,0.006,min(server_latency)
2025-06-11 21:47:47,0.005,min(server_latency)
2025-06-11 21:47:48,0.004,min(server_latency)
2025-06-11 21:47:49,0.057,min(server_latency)
2025-06-11 21:47:50,0.004,min(server_latency)
2025-06-11 21:47:51,0.034,min(server_latency)
2025-06-11 21:47:52,0.029,min(server_latency)
2025-06-11 21:47:53,0.035,min(server_latency)
2025-06-11 21:47:54,0.008,min(server_latency)
2025-06-11 21:47:55,0.061,min(server_latency)
2025-06-11 21:47:56,0.004,min(server_latency)
2025-06-11 21:47:57,0.055,min(server_latency)
2025-06-11 21:47:58,0.004,min(server_latency)
2025-06-11 21:47:59,0.026,min(server_latency)
2025-06-11 21:48:00,0.003,min(server_latency)
2025-06-11 21:48:01,0.052,min(server_latency)
2025-06-11 21:48:02,0.006,min(server_latency)
2025-06-11 21:48:03,0.027,min(server_latency)
2025-06-11 21:48:04,0.004,min(server_latency)
2025-06-11 21:48:05,0.031,min(server_latency)
2025-06-11 21:48:06,0.003,min(server_latency)
2025-06-11 21:48:07,0.033,min(server_latency)
2025-06-11 21:48:08,0.003,min(server_latency)
2025-06-11 21:48:09,0.053,min(server_latency)
2025-06-11 21:48:10,0.003,min(server_latency)
2025-06-11 21:48:11,0.029,min(server_latency)
2025-06-11 21:48:12,0.004,min(server_latency)
2025-06-11 21:48:13,0.02,min(server_latency)
2025-06-11 21:48:14,0.004,min(server_latency)
2025-06-11 21:48:15,0.023,min(server_latency)
2025-06-11 21:48:16,0.003,min(server_latency)
2025-06-11 21:48:17,0.031,min(server_latency)
2025-06-11 21:48:18,0.003,min(server_latency)
2025-06-11 21:48:19,0.056,min(server_latency)
2025-06-11 21:48:20,0.003,min(server_latency)
2025-06-11 21:48:21,0.016,min(server_latency)
2025-06-11 21:48:22,0.004,min(server_latency)
2025-06-11 21:48:23,0.028,min(server_latency)
2025-06-11 21:48:24,0.014,min(server_latency)
2025-06-11 21:48:25,0.029,min(server_latency)
2025-06-11 21:48:26,0.006,min(server_latency)
2025-06-11 21:48:27,0.031,min(server_latency)
2025-06-11 21:48:28,0.013,min(server_latency)
2025-06-11 21:48:29,0.008,min(server_latency)
2025-06-11 21:48:30,0.013,min(server_latency)
2025-06-11 21:48:31,0.019,min(server_latency)
2025-06-11 21:48:32,0.003,min(server_latency)
2025-06-11 21:48:33,0.033,min(server_latency)
2025-06-11 21:48:34,0.003,min(server_latency)
2025-06-11 21:48:35,0.028,min(server_latency)
2025-06-11 21:48:36,0.01,min(server_latency)
2025-06-11 21:48:37,0.017,min(server_latency)
2025-06-11 21:48:38,0.003,min(server_latency)
2025-06-11 21:48:39,0.039,min(server_latency)
2025-06-11 21:48:40,0.003,min(server_latency)
2025-06-11 21:48:41,0.017,min(server_latency)
2025-06-11 21:48:42,0.008,min(server_latency)
2025-06-11 21:48:43,0.011,min(server_latency)
2025-06-11 21:48:44,0.003,min(server_latency)
2025-06-11 21:48:45,0.057,min(server_latency)
2025-06-11 21:48:46,0.006,min(server_latency)
2025-06-11 21:48:47,0.026,min(server_latency)
2025-06-11 21:48:48,0.003,min(server_latency)
2025-06-11 21:48:49,0.024,min(server_latency)
2025-06-11 21:48:50,0.003,min(server_latency)
2025-06-11 21:48:51,0.033,min(server_latency)
2025-06-11 21:48:52,0.003,min(server_latency)
2025-06-11 21:48:53,0.045,min(server_latency)
2025-06-11 21:48:54,0.003,min(server_latency)
2025-06-11 21:48:55,0.008,min(server_latency)
2025-06-11 21:48:56,0.004,min(server_latency)
2025-06-11 21:48:57,0.008,min(server_latency)
2025-06-11 21:48:58,0.004,min(server_latency)
2025-06-11 21:48:59,0.019,min(server_latency)
2025-06-11 21:49:00,0.004,min(server_latency)
2025-06-11 21:49:01,0.008,min(server_latency)
2025-06-11 21:49:02,0.007,min(server_latency)
2025-06-11 21:49:03,0.022,min(server_latency)
2025-06-11 21:49:04,0.003,min(server_latency)
2025-06-11 21:49:05,0.041,min(server_latency)
2025-06-11 21:49:06,0.004,min(server_latency)
2025-06-11 21:49:07,0.013,min(server_latency)
2025-06-11 21:49:08,0.004,min(server_latency)
2025-06-11 21:49:09,0.007,min(server_latency)
2025-06-11 21:49:10,0.008,min(server_latency)
2025-06-11 21:49:11,0.009,min(server_latency)
2025-06-11 21:49:12,0.003,min(server_latency)
2025-06-11 21:49:13,0.008,min(server_latency)
2025-06-11 21:49:14,0.003,min(server_latency)
2025-06-11 21:49:15,0.009,min(server_latency)
2025-06-11 21:49:16,0.003,min(server_latency)
2025-06-11 21:49:17,0.008,min(server_latency)
2025-06-11 21:49:18,0.003,min(server_latency)
2025-06-11 21:49:19,0.009,min(server_latency)
2025-06-11 21:49:20,0.007,min(server_latency)
2025-06-11 21:49:21,0.011,min(server_latency)
2025-06-11 21:49:22,0.002,min(server_latency)
2025-06-11 21:49:23,0.003,min(server_latency)
2025-06-11 21:49:24,0.004,min(server_latency)
2025-06-11 21:49:25,0.009,min(server_latency)
2025-06-11 21:49:26,0.005,min(server_latency)
2025-06-11 21:49:27,0.009,min(server_latency)
2025-06-11 21:49:28,0.003,min(server_latency)
2025-06-11 21:49:29,0.003,min(server_latency)
2025-06-11 21:49:30,0.003,min(server_latency)
2025-06-11 21:49:31,0.007,min(server_latency)
2025-06-11 21:49:32,0.004,min(server_latency)
2025-06-11 21:49:33,0.004,min(server_latency)
2025-06-11 21:49:34,0.002,min(server_latency)
2025-06-11 21:49:35,0.009,min(server_latency)
2025-06-11 21:49:36,0.003,min(server_latency)
2025-06-11 21:49:37,0.005,min(server_latency)
2025-06-11 21:49:38,0.003,min(server_latency)
2025-06-11 21:49:39,0.01,min(server_latency)
2025-06-11 21:49:40,0.004,min(server_latency)
2025-06-11 21:49:41,0.009,min(server_latency)
2025-06-11 21:49:42,0.003,min(server_latency)
2025-06-11 21:49:43,0.009,min(server_latency)
2025-06-11 21:49:44,0.003,min(server_latency)
2025-06-11 21:49:45,0.008,min(server_latency)
2025-06-11 21:49:46,0.009,min(server_latency)
2025-06-11 21:49:47,0.004,min(server_latency)
2025-06-11 21:49:48,0.004,min(server_latency)
2025-06-11 21:49:49,0.011,min(server_latency)
2025-06-11 21:49:50,0.003,min(server_latency)
2025-06-11 21:49:51,0.006,min(server_latency)
2025-06-11 21:49:52,0.003,min(server_latency)
2025-06-11 21:49:53,0.014,min(server_latency)
2025-06-11 21:49:54,0.005,min(server_latency)
2025-06-11 21:49:55,0.012,min(server_latency)
2025-06-11 21:49:56,0.004,min(server_latency)
2025-06-11 21:49:57,0.007,min(server_latency)
2025-06-11 21:49:58,0.002,min(server_latency)
2025-06-11 21:49:59,0.007,min(server_latency)
