timestamp,value,metric,chunk_owner
2025-06-11 21:47:36,5.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:47:37,10.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:48:20,3.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:48:21,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:48:55,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:49:04,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:49:05,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:50:33,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:50:34,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:50:35,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:51:19,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:51:20,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:55:08,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:55:52,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:56:40,3.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:57:24,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:58:01,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:58:08,2.0,sum by(chunk_owner) (mc_player_location),
2025-06-11 21:48:21,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:22,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:23,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:24,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:25,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:26,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:27,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:28,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:29,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:30,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:31,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:32,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:33,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:34,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:35,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:36,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:37,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:38,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:39,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
2025-06-11 21:48:40,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2pvp5
