timestamp,value,metric
2025-06-11 19:20:41,0.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:42,0.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:43,0.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:44,0.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:45,0.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:46,0.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:47,0.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:48,0.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:49,0.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:50,1.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:51,1.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:52,1.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:53,2.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:54,2.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:55,3.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:56,3.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:57,4.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:58,4.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:20:59,4.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:21:00,5.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:21:01,5.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:21:02,6.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:21:03,6.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:21:04,7.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:21:05,7.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:21:06,7.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:21:07,8.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:21:08,8.0,sum(mc_players_online_local{world='world'})
2025-06-11 19:21:09,9.0,sum(mc_players_online_local{world='world'})
