timestamp,value,metric,chunk_owner
2025-06-03 06:12:41,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-03 06:12:42,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-03 06:12:44,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-03 06:12:51,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-03 06:12:46,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:12:47,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:12:48,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:12:49,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:12:50,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:12:51,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:12:52,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:12:53,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:12:54,5.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:12:55,5.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:12:56,5.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:12:57,5.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:12:58,5.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:12:59,5.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:13:00,6.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:13:01,7.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:13:02,7.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:13:03,7.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:13:04,7.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
2025-06-03 06:13:05,8.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-4gz49
