timestamp,value,metric
2025-06-06 06:20:17,0.011,max(server_latency)
2025-06-06 06:20:18,0.056,max(server_latency)
2025-06-06 06:20:19,0.037,max(server_latency)
2025-06-06 06:20:20,0.099,max(server_latency)
2025-06-06 06:20:21,0.052,max(server_latency)
2025-06-06 06:20:22,0.114,max(server_latency)
2025-06-06 06:20:23,0.04,max(server_latency)
2025-06-06 06:20:24,0.04,max(server_latency)
2025-06-06 06:20:25,0.046,max(server_latency)
2025-06-06 06:20:26,0.034,max(server_latency)
2025-06-06 06:20:27,0.048,max(server_latency)
2025-06-06 06:20:28,0.088,max(server_latency)
2025-06-06 06:20:29,0.098,max(server_latency)
2025-06-06 06:20:30,0.035,max(server_latency)
2025-06-06 06:20:31,0.101,max(server_latency)
2025-06-06 06:20:32,0.035,max(server_latency)
2025-06-06 06:20:33,0.044,max(server_latency)
2025-06-06 06:20:34,0.045,max(server_latency)
2025-06-06 06:20:35,0.042,max(server_latency)
2025-06-06 06:20:36,0.031,max(server_latency)
2025-06-06 06:20:37,0.065,max(server_latency)
2025-06-06 06:20:38,0.033,max(server_latency)
2025-06-06 06:20:39,0.076,max(server_latency)
2025-06-06 06:20:40,0.131,max(server_latency)
2025-06-06 06:20:41,0.031,max(server_latency)
2025-06-06 06:20:42,0.065,max(server_latency)
2025-06-06 06:20:43,0.036,max(server_latency)
2025-06-06 06:20:44,0.124,max(server_latency)
2025-06-06 06:20:45,0.037,max(server_latency)
2025-06-06 06:20:46,0.102,max(server_latency)
2025-06-06 06:20:47,0.049,max(server_latency)
2025-06-06 06:20:48,0.11,max(server_latency)
2025-06-06 06:20:49,0.062,max(server_latency)
2025-06-06 06:20:50,0.079,max(server_latency)
2025-06-06 06:20:51,0.094,max(server_latency)
2025-06-06 06:20:52,0.14,max(server_latency)
2025-06-06 06:20:53,0.057,max(server_latency)
2025-06-06 06:20:54,0.1,max(server_latency)
2025-06-06 06:20:55,0.059,max(server_latency)
2025-06-06 06:20:56,0.107,max(server_latency)
2025-06-06 06:20:57,0.058,max(server_latency)
2025-06-06 06:20:58,0.143,max(server_latency)
2025-06-06 06:20:59,0.077,max(server_latency)
2025-06-06 06:21:00,0.114,max(server_latency)
2025-06-06 06:21:01,0.097,max(server_latency)
2025-06-06 06:21:02,0.106,max(server_latency)
2025-06-06 06:21:03,0.073,max(server_latency)
2025-06-06 06:21:04,0.056,max(server_latency)
2025-06-06 06:21:05,0.054,max(server_latency)
2025-06-06 06:21:06,0.096,max(server_latency)
2025-06-06 06:21:07,0.121,max(server_latency)
2025-06-06 06:21:08,0.074,max(server_latency)
2025-06-06 06:21:09,0.085,max(server_latency)
2025-06-06 06:21:10,0.079,max(server_latency)
