timestamp,value,metric,chunk_owner
2025-06-04 08:45:25,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-04 08:45:26,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-04 08:45:28,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-04 08:45:30,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-04 08:45:31,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-04 08:45:33,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-04 08:45:35,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-04 08:45:47,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-04 08:47:34,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-04 08:48:56,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-04 08:49:08,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-04 08:49:14,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-04 08:54:26,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-04 08:45:32,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:33,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:34,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:35,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:36,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:37,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:38,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:39,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:40,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:41,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:42,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:43,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:44,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:45,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:46,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:47,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
2025-06-04 08:45:48,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-h2fv8
