timestamp,value,metric
2025-06-12 16:21:33,0.04,max(server_latency)
2025-06-12 16:21:34,0.014,max(server_latency)
2025-06-12 16:21:35,0.005,max(server_latency)
2025-06-12 16:21:36,0.072,max(server_latency)
2025-06-12 16:21:37,0.095,max(server_latency)
2025-06-12 16:21:38,0.095,max(server_latency)
2025-06-12 16:21:39,0.051,max(server_latency)
2025-06-12 16:21:40,0.076,max(server_latency)
2025-06-12 16:21:41,0.054,max(server_latency)
2025-06-12 16:21:42,0.072,max(server_latency)
2025-06-12 16:21:43,0.057,max(server_latency)
2025-06-12 16:21:44,0.054,max(server_latency)
2025-06-12 16:21:45,0.147,max(server_latency)
2025-06-12 16:21:46,0.053,max(server_latency)
2025-06-12 16:21:47,0.051,max(server_latency)
2025-06-12 16:21:48,0.081,max(server_latency)
2025-06-12 16:21:49,0.054,max(server_latency)
2025-06-12 16:21:50,0.133,max(server_latency)
2025-06-12 16:21:51,0.148,max(server_latency)
2025-06-12 16:21:52,0.052,max(server_latency)
2025-06-12 16:21:53,0.056,max(server_latency)
2025-06-12 16:21:54,0.139,max(server_latency)
2025-06-12 16:21:55,0.052,max(server_latency)
2025-06-12 16:21:56,0.091,max(server_latency)
2025-06-12 16:21:57,0.054,max(server_latency)
2025-06-12 16:21:58,0.114,max(server_latency)
2025-06-12 16:21:59,0.051,max(server_latency)
2025-06-12 16:22:00,0.066,max(server_latency)
2025-06-12 16:22:01,0.045,max(server_latency)
2025-06-12 16:22:02,0.088,max(server_latency)
2025-06-12 16:22:03,0.045,max(server_latency)
2025-06-12 16:22:04,0.08,max(server_latency)
2025-06-12 16:22:05,0.044,max(server_latency)
2025-06-12 16:22:06,0.11,max(server_latency)
2025-06-12 16:22:07,0.051,max(server_latency)
2025-06-12 16:22:08,0.091,max(server_latency)
2025-06-12 16:22:09,0.044,max(server_latency)
2025-06-12 16:22:10,0.108,max(server_latency)
2025-06-12 16:22:11,0.058,max(server_latency)
2025-06-12 16:22:12,0.145,max(server_latency)
2025-06-12 16:22:13,0.05,max(server_latency)
2025-06-12 16:22:14,0.208,max(server_latency)
2025-06-12 16:22:15,0.06,max(server_latency)
2025-06-12 16:22:16,0.046,max(server_latency)
2025-06-12 16:22:17,0.055,max(server_latency)
2025-06-12 16:22:18,0.113,max(server_latency)
2025-06-12 16:22:19,0.167,max(server_latency)
2025-06-12 16:22:20,0.166,max(server_latency)
2025-06-12 16:22:21,0.097,max(server_latency)
2025-06-12 16:22:22,0.075,max(server_latency)
2025-06-12 16:22:23,0.147,max(server_latency)
2025-06-12 16:22:24,0.098,max(server_latency)
2025-06-12 16:22:25,0.129,max(server_latency)
2025-06-12 16:22:26,0.097,max(server_latency)
2025-06-12 16:22:27,0.166,max(server_latency)
2025-06-12 16:22:28,0.277,max(server_latency)
2025-06-12 16:22:29,0.129,max(server_latency)
2025-06-12 16:22:30,0.077,max(server_latency)
2025-06-12 16:22:31,0.197,max(server_latency)
2025-06-12 16:22:32,0.087,max(server_latency)
2025-06-12 16:22:33,0.151,max(server_latency)
2025-06-12 16:22:34,0.086,max(server_latency)
2025-06-12 16:22:35,0.179,max(server_latency)
2025-06-12 16:22:36,0.055,max(server_latency)
2025-06-12 16:22:37,0.119,max(server_latency)
2025-06-12 16:22:38,0.095,max(server_latency)
2025-06-12 16:22:39,0.11,max(server_latency)
2025-06-12 16:22:40,0.081,max(server_latency)
2025-06-12 16:22:41,0.097,max(server_latency)
2025-06-12 16:22:42,0.102,max(server_latency)
2025-06-12 16:22:43,0.116,max(server_latency)
2025-06-12 16:22:44,0.142,max(server_latency)
2025-06-12 16:22:45,0.088,max(server_latency)
2025-06-12 16:22:46,0.094,max(server_latency)
2025-06-12 16:22:47,0.094,max(server_latency)
2025-06-12 16:22:48,0.09,max(server_latency)
2025-06-12 16:22:49,0.079,max(server_latency)
2025-06-12 16:22:50,0.142,max(server_latency)
2025-06-12 16:22:51,0.124,max(server_latency)
2025-06-12 16:22:52,0.097,max(server_latency)
2025-06-12 16:22:53,0.113,max(server_latency)
2025-06-12 16:22:54,0.091,max(server_latency)
2025-06-12 16:22:55,0.204,max(server_latency)
2025-06-12 16:22:56,0.076,max(server_latency)
2025-06-12 16:22:57,0.094,max(server_latency)
2025-06-12 16:22:58,0.09,max(server_latency)
2025-06-12 16:22:59,0.133,max(server_latency)
2025-06-12 16:23:00,0.077,max(server_latency)
2025-06-12 16:23:01,0.13,max(server_latency)
2025-06-12 16:23:02,0.095,max(server_latency)
2025-06-12 16:23:03,0.088,max(server_latency)
2025-06-12 16:23:04,0.098,max(server_latency)
2025-06-12 16:23:05,0.056,max(server_latency)
2025-06-12 16:23:06,0.083,max(server_latency)
2025-06-12 16:23:07,0.098,max(server_latency)
2025-06-12 16:23:08,0.078,max(server_latency)
2025-06-12 16:23:09,0.17,max(server_latency)
2025-06-12 16:23:10,0.069,max(server_latency)
2025-06-12 16:23:11,0.223,max(server_latency)
2025-06-12 16:23:12,0.098,max(server_latency)
2025-06-12 16:23:13,0.086,max(server_latency)
2025-06-12 16:23:14,0.083,max(server_latency)
2025-06-12 16:23:15,0.08,max(server_latency)
2025-06-12 16:23:16,0.09,max(server_latency)
2025-06-12 16:23:17,0.072,max(server_latency)
2025-06-12 16:23:18,0.088,max(server_latency)
2025-06-12 16:23:19,0.07,max(server_latency)
2025-06-12 16:23:20,0.072,max(server_latency)
2025-06-12 16:23:21,0.319,max(server_latency)
2025-06-12 16:23:22,0.381,max(server_latency)
2025-06-12 16:23:23,0.061,max(server_latency)
2025-06-12 16:23:24,0.208,max(server_latency)
2025-06-12 16:23:25,0.071,max(server_latency)
2025-06-12 16:23:26,0.062,max(server_latency)
2025-06-12 16:23:27,0.071,max(server_latency)
2025-06-12 16:23:28,0.092,max(server_latency)
2025-06-12 16:23:29,0.106,max(server_latency)
2025-06-12 16:23:30,0.132,max(server_latency)
2025-06-12 16:23:31,0.151,max(server_latency)
2025-06-12 16:23:32,0.092,max(server_latency)
2025-06-12 16:23:33,0.076,max(server_latency)
2025-06-12 16:23:34,0.089,max(server_latency)
2025-06-12 16:23:35,0.117,max(server_latency)
2025-06-12 16:23:36,0.103,max(server_latency)
2025-06-12 16:23:37,0.108,max(server_latency)
2025-06-12 16:23:38,0.092,max(server_latency)
2025-06-12 16:23:39,0.077,max(server_latency)
2025-06-12 16:23:40,0.111,max(server_latency)
2025-06-12 16:23:41,0.079,max(server_latency)
2025-06-12 16:23:42,0.093,max(server_latency)
2025-06-12 16:23:43,0.116,max(server_latency)
2025-06-12 16:23:44,0.065,max(server_latency)
2025-06-12 16:23:45,0.116,max(server_latency)
2025-06-12 16:23:46,0.091,max(server_latency)
2025-06-12 16:23:47,0.12,max(server_latency)
2025-06-12 16:23:48,0.083,max(server_latency)
2025-06-12 16:23:49,0.118,max(server_latency)
2025-06-12 16:23:50,0.12,max(server_latency)
2025-06-12 16:23:51,0.112,max(server_latency)
2025-06-12 16:23:52,0.087,max(server_latency)
2025-06-12 16:23:53,0.11,max(server_latency)
2025-06-12 16:23:54,0.065,max(server_latency)
2025-06-12 16:23:55,0.099,max(server_latency)
2025-06-12 16:23:56,0.09,max(server_latency)
2025-06-12 16:23:57,0.244,max(server_latency)
2025-06-12 16:23:58,0.379,max(server_latency)
2025-06-12 16:23:59,0.168,max(server_latency)
2025-06-12 16:24:00,0.082,max(server_latency)
2025-06-12 16:24:01,0.111,max(server_latency)
2025-06-12 16:24:02,0.149,max(server_latency)
2025-06-12 16:24:03,0.1,max(server_latency)
2025-06-12 16:24:04,0.09,max(server_latency)
2025-06-12 16:24:05,0.232,max(server_latency)
2025-06-12 16:24:06,0.098,max(server_latency)
2025-06-12 16:24:07,0.092,max(server_latency)
2025-06-12 16:24:08,0.1,max(server_latency)
2025-06-12 16:24:09,0.092,max(server_latency)
2025-06-12 16:24:10,0.135,max(server_latency)
2025-06-12 16:24:11,0.238,max(server_latency)
2025-06-12 16:24:12,0.128,max(server_latency)
2025-06-12 16:24:13,0.101,max(server_latency)
2025-06-12 16:24:14,0.142,max(server_latency)
2025-06-12 16:24:15,0.099,max(server_latency)
2025-06-12 16:24:16,0.077,max(server_latency)
2025-06-12 16:24:17,0.343,max(server_latency)
2025-06-12 16:24:18,0.129,max(server_latency)
2025-06-12 16:24:19,0.128,max(server_latency)
2025-06-12 16:24:20,0.101,max(server_latency)
2025-06-12 16:24:21,0.08,max(server_latency)
2025-06-12 16:24:22,0.147,max(server_latency)
2025-06-12 16:24:23,0.099,max(server_latency)
2025-06-12 16:24:24,0.078,max(server_latency)
2025-06-12 16:24:25,0.086,max(server_latency)
2025-06-12 16:24:26,0.094,max(server_latency)
2025-06-12 16:24:27,0.092,max(server_latency)
2025-06-12 16:24:28,0.075,max(server_latency)
2025-06-12 16:24:29,0.114,max(server_latency)
2025-06-12 16:24:30,0.085,max(server_latency)
2025-06-12 16:24:31,0.084,max(server_latency)
2025-06-12 16:24:32,0.107,max(server_latency)
2025-06-12 16:24:33,0.072,max(server_latency)
2025-06-12 16:24:34,0.079,max(server_latency)
2025-06-12 16:24:35,0.105,max(server_latency)
2025-06-12 16:24:36,0.078,max(server_latency)
2025-06-12 16:24:37,0.074,max(server_latency)
2025-06-12 16:24:38,0.081,max(server_latency)
2025-06-12 16:24:39,0.322,max(server_latency)
2025-06-12 16:24:40,0.323,max(server_latency)
2025-06-12 16:24:41,0.095,max(server_latency)
2025-06-12 16:24:42,0.087,max(server_latency)
2025-06-12 16:24:43,0.108,max(server_latency)
2025-06-12 16:24:44,0.242,max(server_latency)
2025-06-12 16:24:45,0.108,max(server_latency)
2025-06-12 16:24:46,0.214,max(server_latency)
2025-06-12 16:24:47,0.093,max(server_latency)
2025-06-12 16:24:48,0.139,max(server_latency)
2025-06-12 16:24:49,0.122,max(server_latency)
2025-06-12 16:24:50,0.23,max(server_latency)
2025-06-12 16:24:51,0.099,max(server_latency)
2025-06-12 16:24:52,0.226,max(server_latency)
2025-06-12 16:24:53,0.263,max(server_latency)
2025-06-12 16:24:54,0.108,max(server_latency)
2025-06-12 16:24:55,0.102,max(server_latency)
2025-06-12 16:24:56,0.123,max(server_latency)
2025-06-12 16:24:57,0.249,max(server_latency)
2025-06-12 16:24:58,0.128,max(server_latency)
2025-06-12 16:24:59,0.094,max(server_latency)
2025-06-12 16:25:00,0.147,max(server_latency)
2025-06-12 16:25:01,0.187,max(server_latency)
2025-06-12 16:25:02,0.105,max(server_latency)
2025-06-12 16:25:03,0.123,max(server_latency)
2025-06-12 16:25:04,0.134,max(server_latency)
2025-06-12 16:25:05,0.103,max(server_latency)
2025-06-12 16:25:06,0.11,max(server_latency)
2025-06-12 16:25:07,0.105,max(server_latency)
2025-06-12 16:25:08,0.126,max(server_latency)
2025-06-12 16:25:09,0.119,max(server_latency)
2025-06-12 16:25:10,0.192,max(server_latency)
2025-06-12 16:25:11,0.107,max(server_latency)
2025-06-12 16:25:12,0.198,max(server_latency)
2025-06-12 16:25:13,0.12,max(server_latency)
2025-06-12 16:25:14,0.119,max(server_latency)
2025-06-12 16:25:15,0.109,max(server_latency)
2025-06-12 16:25:16,0.12,max(server_latency)
2025-06-12 16:25:17,0.106,max(server_latency)
2025-06-12 16:25:18,0.162,max(server_latency)
2025-06-12 16:25:19,0.099,max(server_latency)
2025-06-12 16:25:20,0.095,max(server_latency)
2025-06-12 16:25:21,0.112,max(server_latency)
2025-06-12 16:25:22,0.103,max(server_latency)
2025-06-12 16:25:23,0.094,max(server_latency)
2025-06-12 16:25:24,0.203,max(server_latency)
2025-06-12 16:25:25,0.134,max(server_latency)
2025-06-12 16:25:26,0.144,max(server_latency)
2025-06-12 16:25:27,0.118,max(server_latency)
2025-06-12 16:25:28,0.205,max(server_latency)
2025-06-12 16:25:29,0.182,max(server_latency)
2025-06-12 16:25:30,0.168,max(server_latency)
2025-06-12 16:25:31,0.095,max(server_latency)
2025-06-12 16:25:32,0.288,max(server_latency)
2025-06-12 16:25:33,0.287,max(server_latency)
2025-06-12 16:25:34,0.141,max(server_latency)
2025-06-12 16:25:35,0.084,max(server_latency)
2025-06-12 16:25:36,0.113,max(server_latency)
2025-06-12 16:25:37,0.093,max(server_latency)
2025-06-12 16:25:38,0.13,max(server_latency)
2025-06-12 16:25:39,0.201,max(server_latency)
2025-06-12 16:25:40,0.167,max(server_latency)
2025-06-12 16:25:41,0.209,max(server_latency)
2025-06-12 16:25:42,0.21,max(server_latency)
2025-06-12 16:25:43,0.133,max(server_latency)
2025-06-12 16:25:44,0.117,max(server_latency)
2025-06-12 16:25:45,0.119,max(server_latency)
2025-06-12 16:25:46,0.089,max(server_latency)
2025-06-12 16:25:47,0.075,max(server_latency)
2025-06-12 16:25:48,0.093,max(server_latency)
2025-06-12 16:25:49,0.087,max(server_latency)
2025-06-12 16:25:50,0.091,max(server_latency)
2025-06-12 16:25:51,0.106,max(server_latency)
2025-06-12 16:25:52,0.121,max(server_latency)
2025-06-12 16:25:53,0.092,max(server_latency)
2025-06-12 16:25:54,0.189,max(server_latency)
2025-06-12 16:25:55,0.095,max(server_latency)
2025-06-12 16:25:56,0.191,max(server_latency)
2025-06-12 16:25:57,0.109,max(server_latency)
2025-06-12 16:25:58,0.13,max(server_latency)
2025-06-12 16:25:59,0.089,max(server_latency)
2025-06-12 16:26:00,0.101,max(server_latency)
2025-06-12 16:26:01,0.146,max(server_latency)
2025-06-12 16:26:02,0.094,max(server_latency)
2025-06-12 16:26:03,0.212,max(server_latency)
2025-06-12 16:26:04,0.201,max(server_latency)
2025-06-12 16:26:05,0.202,max(server_latency)
2025-06-12 16:26:06,0.109,max(server_latency)
2025-06-12 16:26:07,0.204,max(server_latency)
2025-06-12 16:26:08,0.108,max(server_latency)
2025-06-12 16:26:09,0.123,max(server_latency)
2025-06-12 16:26:10,0.102,max(server_latency)
2025-06-12 16:26:11,0.235,max(server_latency)
2025-06-12 16:26:12,0.277,max(server_latency)
2025-06-12 16:26:13,0.178,max(server_latency)
2025-06-12 16:26:14,0.195,max(server_latency)
2025-06-12 16:26:15,0.095,max(server_latency)
2025-06-12 16:26:16,0.108,max(server_latency)
2025-06-12 16:26:17,0.088,max(server_latency)
2025-06-12 16:26:18,0.199,max(server_latency)
2025-06-12 16:26:19,0.346,max(server_latency)
