timestamp,value,metric,chunk_owner
2025-06-12 16:21:32,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-12 16:21:34,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-12 16:21:35,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-12 16:22:17,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:18,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:19,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:20,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:21,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:22,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:23,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:24,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:25,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:26,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:27,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:28,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:29,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:30,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:31,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:32,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:33,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:34,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:35,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:36,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:37,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:38,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:39,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:40,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
2025-06-12 16:22:41,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2b669
