timestamp,value,metric
2025-06-12 18:45:47,0.062,max(server_latency)
2025-06-12 18:45:48,0.076,max(server_latency)
2025-06-12 18:45:49,0.065,max(server_latency)
2025-06-12 18:45:50,0.062,max(server_latency)
2025-06-12 18:45:51,0.049,max(server_latency)
2025-06-12 18:45:52,0.068,max(server_latency)
2025-06-12 18:45:53,0.088,max(server_latency)
2025-06-12 18:45:54,0.048,max(server_latency)
2025-06-12 18:45:55,0.048,max(server_latency)
2025-06-12 18:45:56,0.057,max(server_latency)
2025-06-12 18:45:57,0.047,max(server_latency)
2025-06-12 18:45:58,0.276,max(server_latency)
2025-06-12 18:45:59,0.055,max(server_latency)
2025-06-12 18:46:00,0.029,max(server_latency)
2025-06-12 18:46:01,0.052,max(server_latency)
2025-06-12 18:46:02,0.113,max(server_latency)
2025-06-12 18:46:03,0.048,max(server_latency)
2025-06-12 18:46:04,0.051,max(server_latency)
2025-06-12 18:46:05,0.046,max(server_latency)
2025-06-12 18:46:06,0.056,max(server_latency)
2025-06-12 18:46:07,0.065,max(server_latency)
2025-06-12 18:46:08,0.049,max(server_latency)
2025-06-12 18:46:09,0.048,max(server_latency)
2025-06-12 18:46:10,0.059,max(server_latency)
2025-06-12 18:46:11,0.047,max(server_latency)
2025-06-12 18:46:12,0.071,max(server_latency)
2025-06-12 18:46:13,0.045,max(server_latency)
2025-06-12 18:46:14,0.047,max(server_latency)
2025-06-12 18:46:15,0.049,max(server_latency)
2025-06-12 18:46:16,0.052,max(server_latency)
2025-06-12 18:46:17,0.044,max(server_latency)
2025-06-12 18:46:18,0.051,max(server_latency)
2025-06-12 18:46:19,0.046,max(server_latency)
2025-06-12 18:46:20,0.049,max(server_latency)
2025-06-12 18:46:21,0.046,max(server_latency)
2025-06-12 18:46:22,0.046,max(server_latency)
2025-06-12 18:46:23,0.043,max(server_latency)
2025-06-12 18:46:24,0.042,max(server_latency)
2025-06-12 18:46:25,0.045,max(server_latency)
2025-06-12 18:46:26,0.083,max(server_latency)
2025-06-12 18:46:27,0.056,max(server_latency)
2025-06-12 18:46:28,0.163,max(server_latency)
2025-06-12 18:46:29,0.057,max(server_latency)
2025-06-12 18:46:30,0.085,max(server_latency)
2025-06-12 18:46:31,0.061,max(server_latency)
2025-06-12 18:46:32,0.05,max(server_latency)
2025-06-12 18:46:33,0.055,max(server_latency)
2025-06-12 18:46:34,0.062,max(server_latency)
