timestamp,value,metric,chunk_owner
2025-06-12 18:45:45,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-12 18:45:46,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-12 18:45:47,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-12 18:45:48,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-12 18:56:39,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-12 18:46:06,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:07,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:08,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:09,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:10,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:11,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:12,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:13,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:14,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:15,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:16,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:17,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:18,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:19,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:20,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:21,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:22,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:23,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:24,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:25,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:26,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:27,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:28,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:29,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:30,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:31,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:32,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:33,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:34,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:35,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:36,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:37,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:38,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:39,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:40,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:41,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:42,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:43,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:44,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:45,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:46,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:47,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:48,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:49,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:50,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:51,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:52,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:53,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:54,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:55,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
2025-06-12 18:46:56,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-2fqs8
