timestamp,value,metric
2025-06-12 18:45:33,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:34,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:35,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:36,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:37,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:38,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:39,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:40,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:41,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:42,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:43,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:44,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:45,1.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:46,1.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:47,2.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:48,2.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:49,2.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:50,3.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:51,3.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:52,4.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:53,4.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:54,4.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:55,5.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:56,5.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:57,6.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:58,6.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:45:59,7.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:00,7.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:01,7.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:02,8.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:03,8.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:04,9.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:05,9.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:06,10.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:07,11.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:08,11.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:09,12.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:10,12.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:11,13.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:12,13.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:13,14.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:14,14.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:15,15.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:16,15.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:17,16.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:18,16.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:19,17.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:20,17.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:21,18.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:22,18.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:23,19.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:24,19.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:25,20.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:26,21.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:27,21.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:28,22.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:29,22.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:30,23.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:31,23.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:32,24.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:33,24.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:34,25.0,sum(mc_players_online_local{world='world'})
2025-06-12 18:46:35,25.0,sum(mc_players_online_local{world='world'})
