timestamp,value,metric,chunk_owner
2025-06-12 19:05:47,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-12 19:05:50,1.0,sum by(chunk_owner) (mc_player_location),
2025-06-12 19:06:17,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:18,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:19,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:21,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:22,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:23,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:24,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:25,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:26,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:27,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:28,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:29,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:30,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:31,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:32,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:33,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:34,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:35,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:36,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:37,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:38,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:39,5.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:40,5.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:41,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:42,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:43,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:44,5.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:45,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:46,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:47,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:48,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:49,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:50,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:51,4.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:52,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:53,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:54,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:55,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:56,3.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:57,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:06:58,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:07:04,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:07:05,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:07:06,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:07:07,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:07:08,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:07:09,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:07:10,1.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
2025-06-12 19:07:11,2.0,sum by(chunk_owner) (mc_player_location),multipaper-server-5d4c584f66-6mkbv
