timestamp,value,metric
2025-06-12 19:05:38,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:39,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:40,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:41,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:42,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:43,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:44,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:45,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:46,0.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:47,1.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:48,1.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:49,1.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:50,2.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:51,2.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:52,3.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:53,3.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:54,4.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:55,5.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:56,5.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:57,5.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:58,6.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:05:59,6.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:00,6.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:01,7.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:02,7.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:03,7.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:04,8.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:05,8.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:06,9.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:07,9.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:08,10.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:09,10.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:10,11.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:11,11.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:12,12.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:13,13.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:14,13.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:15,14.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:16,14.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:17,15.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:18,15.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:19,16.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:20,17.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:21,17.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:22,17.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:23,18.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:24,18.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:25,19.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:26,19.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:27,20.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:28,20.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:29,20.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:30,21.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:31,21.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:32,22.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:33,22.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:34,23.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:35,23.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:36,24.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:37,24.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:38,25.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:39,25.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:40,26.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:41,26.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:42,27.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:43,27.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:44,28.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:45,28.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:46,29.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:47,29.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:48,30.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:49,30.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:50,31.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:51,31.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:52,32.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:53,32.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:54,33.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:55,33.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:56,34.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:57,34.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:58,35.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:06:59,35.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:00,36.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:01,36.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:02,37.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:03,37.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:04,38.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:05,38.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:06,38.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:07,39.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:08,39.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:09,40.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:10,40.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:11,41.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:12,41.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:13,42.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:14,42.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:15,43.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:16,43.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:17,44.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:18,44.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:19,45.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:20,45.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:21,46.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:22,46.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:23,47.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:24,47.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:25,48.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:26,48.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:27,49.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:28,49.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:29,50.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:30,50.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:31,51.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:32,51.0,sum(mc_players_online_local{world='world'})
2025-06-12 19:07:33,52.0,sum(mc_players_online_local{world='world'})
